 ----  |                      Name                       |  $$$$  | ANdiv | divY%  |        Sector         |                            industry                            
 TILE  | Interface, Inc.                                 | 12.580 | 0.260 |  2.396 | Consumer Durables     | Home Furnishings
 KLIC  | Kulicke and Soffa Industries, Inc.              | 22.180 | 0.480 |  2.388 | Technology            | Semiconductors
 HBCP  | Home Bancorp, Inc.                              | 36.330 | 0.840 |  2.381 | Finance               | Banks
 BELFA | Bel Fuse Inc.                                   | 10.964 | 0.240 |  2.376 | Capital Goods         | Electrical Products
 SMMF  | Summit Financial Group, Inc.                    | 25.260 | 0.600 |  2.360 | Finance               | Major Banks
 WVFC  | WVS Financial Corp.                             | 17.350 | 0.400 |  2.353 | Finance               | Banks
 TYPE  | Monotype Imaging Holdings Inc.                  | 19.880 | 0.464 |  2.343 | Technology            | EDP Services
 SABR  | Sabre Corporation                               | 25.020 | 0.560 |  2.338 | Technology            | Computer Software: Programming, Data Processing
 EBMT  | Eagle Bancorp Montana, Inc.                     | 17.550 | 0.380 |  2.313 | Finance               | Major Banks
 EBTC  | Enterprise Bancorp Inc                          | 29.260 | 0.640 |  2.311 | Finance               | Major Banks
 WNEB  | Western New England Bancorp, Inc.               |  8.930 | 0.200 |  2.299 | Finance               | Savings Institutions
 FMBH  | First Mid Bancshares, Inc.                      | 31.710 | 0.720 |  2.279 | Finance               | Major Banks
 EGBN  | Eagle Bancorp, Inc.                             | 38.850 | 0.880 |  2.275 | Finance               | Major Banks
 OPBK  | OP Bancorp                                      |  9.270 | 0.200 |  2.265 | Finance               | Major Banks
 FBSS  | Fauquier Bankshares, Inc.                       | 20.990 | 0.480 |  2.262 | Finance               | Major Banks
 GNTY  | Guaranty Bancshares, Inc.                       | 30.410 | 0.680 |  2.261 | Finance               | Major Banks
 LBC   | Luther Burbank Corporation                      | 10.720 | 0.230 |  2.255 | Finance               | Major Banks
 CWBC  | Community West Bancshares                       |  9.800 | 0.220 |  2.251 | Finance               | Major Banks
 GABC  | German American Bancorp, Inc.                   | 30.880 | 0.680 |  2.250 | Finance               | Major Banks
 LCUT  | Lifetime Brands, Inc.                           |  7.710 | 0.170 |  2.249 | Capital Goods         | Industrial Machinery/Components
 HSII  | Heidrick & Struggles International, Inc.        | 29.470 | 0.600 |  2.247 | Technology            | Diversified Commercial Services
 SBFG  | SB Financial Group, Inc.                        | 16.600 | 0.360 |  2.239 | Finance               | Major Banks
 VBTX  | Veritex Holdings, Inc.                          | 24.600 | 0.500 |  2.234 | Finance               | Major Banks
 WETF  | WisdomTree Investments, Inc.                    |  5.940 | 0.120 |  2.226 | Finance               | Investment Bankers/Brokers/Service
 CVCY  | Central Valley Community Bancorp                | 20.210 | 0.440 |  2.225 | Finance               | Major Banks
 RRR   | Red Rock Resorts, Inc.                          | 19.450 | 0.400 |  2.225 | Consumer Services     | Hotels/Resorts
 CPHC  | Canterbury Park Holding Corporation             | 11.930 | 0.280 |  2.224 | Consumer Services     | Services-Misc. Amusement & Recreation
 RBB   | RBB Bancorp                                     | 18.620 | 0.400 |  2.212 | Finance               | Major Banks
 KFRC  | Kforce, Inc.                                    | 34.260 | 0.720 |  2.205 | Technology            | Professional Services
 GFED  | Guaranty Federal Bancshares, Inc.               | 23.800 | 0.520 |  2.203 | Finance               | Major Banks
 HWBK  | Hawthorn Bancshares, Inc.                       | 23.590 | 0.480 |  2.195 | Finance               | Major Banks
 NTIC  | Northern Technologies International Corporation | 11.110 | 0.240 |  2.178 | Capital Goods         | Industrial Specialties
 AMRB  | American River Bankshares                       | 13.380 | 0.280 |  2.137 | Finance               | Major Banks
 CIVB  | Civista Bancshares, Inc.                        | 21.120 | 0.440 |  2.129 | Finance               | Major Banks
 TCBK  | TriCo Bancshares                                | 36.760 | 0.760 |  2.127 | Finance               | Major Banks
 OPOF  | Old Point Financial Corporation                 | 23.100 | 0.480 |  2.124 | Finance               | Major Banks
 CTRN  | Citi Trends, Inc.                               | 15.000 | 0.320 |  2.123 | Consumer Services     | Clothing/Shoe/Accessory Stores
 PEBK  | Peoples Bancorp of North Carolina, Inc.         | 27.830 | 0.560 |  2.094 | Finance               | Major Banks
 UIHC  | United Insurance Holdings Corp.                 | 11.250 | 0.240 |  2.071 | Finance               | Property-Casualty Insurers
 BWFG  | Bankwell Financial Group, Inc.                  | 27.510 | 0.520 |  2.051 | Finance               | Major Banks
 WEN   | Wendy&#39;s Company (The)                       | 18.090 | 0.400 |  2.021 | Consumer Services     | Restaurants
 SFBS  | ServisFirst Bancshares, Inc.                    | 32.000 | 0.600 |  2.016 | Finance               | Major Banks
 BOCH  | Bank of Commerce Holdings (CA)                  | 10.440 | 0.200 |  2.002 | Finance               | Major Banks
 RCKY  | Rocky Brands, Inc.                              | 30.820 | 0.560 |  2.001 | Consumer Non-Durables | Shoe Manufacturing
